page_num,position,link,title,source,date,snippet,thumbnail
2,3,https://liveandletsfly.com/lufthansa-apologizes-jewish-passengers/,Lufthansa Apologizes For Treatment Of Jewish Passengers,Live and Let's Fly,17 mins ago,"Lufthansa has issued an apology for its treatment of many Jewish passengers 
who were denied boarding not on the basis of their behavior,...",https://serpapi.com/searches/627ab55e224db1769974a6f7/images/dee9566f0e0757b5e3bc5d617b4b9cebce950a4367e950e7ee5dc24fce53dcc9.jpeg
2,4,https://www.cnn.com/2022/05/03/business/kate-spade-ulta-email/index.html,Ulta Beauty apologizes for 'very insensitive' email about Kate Spade,CNN,1 week ago,"New York (CNN Business) Ulta Beauty is apologizing for sending a newsletter 
to customers with a subject line containing a ""very insensitive...",https://serpapi.com/searches/627ab55e224db1769974a6f7/images/dee9566f0e0757b504aaffaea1ba643f6aeff807811a9b1b099378ed524bb87f.jpeg
2,5,https://variety.com/2022/tv/news/drew-barrymore-apologizes-johnny-depp-amber-heard-insane-1235255655/,"Drew Barrymore Apologizes for ‘Making Light’ of Johnny Depp-Amber Heard Trial, ‘Offending’ Fans",Variety,1 week ago,"Drew Barrymore Apologizes for 'Making Light' of Johnny Depp-Amber ... Depp 
and Amber Heard and for that I just want to deeply apologize and...",https://serpapi.com/searches/627ab55e224db1769974a6f7/images/dee9566f0e0757b500dfef5d9b2f2295dcb988b1d7f9ba97e638a94c358cc786.jpeg
2,6,https://boingboing.net/2022/05/10/canadian-mp-apologizes-for-attending-virtual-parliamentary-meeting-from-bathroom-stall.html,Canadian MP apologizes for attending virtual parliamentary meeting from bathroom stall,Boing Boing,1 hour ago,"Just a year after a Canadian politician was caught peeing during a virtual 
work meeting (the same William Amos who was caught naked a month...",https://serpapi.com/searches/627ab55e224db1769974a6f7/images/dee9566f0e0757b52a16c82722f24e597790e95f8e2da819c93735f2768afc23.jpeg
2,7,https://www.si.com/extra-mustard/2022/05/03/jack-armstrong-apologizes-on-air-comments-about-joel-embiid,Jack Armstrong Apologizes for On-Air Comments About Joel Embiid,Sports Illustrated,1 week ago,"“I'd like to apologize for my comments late in Game 6 between the Sixers 
and Raptors regarding Joel Embiid,” he wrote. “I regret my in the...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnawsyK_xrN6KMLWg_qu7o4-umSkIuSpkQfqt1_Wc&usqp=CAI&s
2,8,https://www.wusa9.com/video/news/local/dc/vincent-orange-apologizes-for-his-comments-on-openly-gay-opponent-zachary-parker/65-6ceafb5f-657c-41aa-a11f-d192b9a40997,Vincent Orange apologizes for his comments on openly gay ...,WUSA9.com,18 hours ago,"Orange made comments on Parker's announcement of being an openly gay man. 
Parker said the comments were ""unexpected"" but he added that it...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpXTmkgxKe_fJ6p_DRDKuTLO6g7x6Dg2kj-qrACbwnfS5zYHsmN-3g0q4&usqp=CAI&s
2,9,https://people.com/music/stevie-j-apologizes-to-faith-evans-mothers-day/,Stevie J. Apologizes to Faith Evans on Mother's Day: 'I've Learned My Lesson',People,1 day ago,"While sharing a Mother's Day post on Instagram on Sunday, the Love & Hip 
Hop: Atlanta star issued a public apology to Evans, 48, over his...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJKOc57OGiN-0Sh0-YRj2Qkjla5ohVVp0D0HOIPisDram3pUE9QrI1PZo&usqp=CAI&s
2,10,https://www.washingtonpost.com/politics/2022/05/05/zelensky-russia-ukraine-nazi-hitler-propagands/,Putin apologizes to Israel for Hitler comments as Zelensky ...,The Washington Post,5 days ago,"The reported apology came after Ukrainian President Volodymyr Zelensky 
accused Russia of using Nazi propaganda and antisemitic tropes to...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz_lCcjqVg7ls7u8woJcf6R791Zume1WOPtfOSzWiXQumxzOjZ6C2IFjk&usqp=CAI&s
3,1,https://www.washingtonpost.com/politics/2022/05/05/zelensky-russia-ukraine-nazi-hitler-propagands/,Putin apologizes to Israel for Hitler comments as Zelensky ...,The Washington Post,5 days ago,"The reported apology came after Ukrainian President Volodymyr Zelensky 
accused Russia of using Nazi propaganda and antisemitic tropes to...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a41cfc56e9cecbdb1dd111baff4fea5ea83d2b72310f43f8030.jpeg
3,2,https://www.timesofisrael.com/putin-apologizes-for-russian-envoys-hitler-comments-bennetts-office-says/,"Putin apologizes for Russian FM’s ‘Jewish Hitler’ remarks, Bennett’s office says",The Times of Israel,5 days ago,"In a phone call Thursday, Russian President Vladimir Putin apologized to 
Prime Minister Naftali Bennett for incendiary comments made by the...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a417e69e82ee0d9e4bc0f46d02a90e44f548e11484a63156239.jpeg
3,3,https://www.vice.com/en/article/akvb35/putin-apologizes-for-statement-about-hitler-being-jewish-israel-says,"Putin Apologizes for Statement About Hitler Being Jewish, Israel Says",VICE,4 days ago,"According to Israeli news site Walla, Russian president Vladimir Putin has 
reportedly issued a rare apology to Israel's Prime Minister...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a41b9d46e11ec212e08bdad1d3a13c54130bed0c7bef3da6c16.jpeg
3,4,https://www.gizchina.com/2022/05/09/tesla-owner-publicly-apologizes-for-deliberately-fabricating-false-news/,Tesla owner publicly apologizes for deliberately fabricating false news,Gizchina.com,23 hours ago,"Tesla owner apologizes. Today, a Weibo user who claims to be the owner of 
the car issued an apology letter. The letter reveals that after the...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a416ec8037e62c0cef51831ded97e3d37e38ec65ca3ebb3ff2b.jpeg
3,5,https://www.smithsonianmag.com/smart-news/denver-apologizes-for-anti-chinese-riot-of-1880-180979945/,Denver Apologizes for Anti-Chinese Riot of 1880 | Smart News,Smithsonian Magazine,3 weeks ago,"Denver's apology for an 1880 anti-Chinese riot comes during a surge of 
racially motivated violence and discrimination toward Asian Americans...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a41e23e8becb6a0ed1934ed5c5a01975876c1404f29fccd06bb.jpeg
3,6,https://www.ctvnews.ca/politics/lapse-in-judgment-liberal-mp-apologizes-for-joining-hybrid-house-proceedings-from-washroom-stall-1.5895140,Liberal MP accused of joining virtual Parliament from a ...,CTV News,1 day ago,"Liberal MP Shafqat Ali has apologized after being called out by the 
Conservatives for participating in House of Commons proceedings...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a4162e3c9ae6c59ad06e21127966331d9889a87b80715cfe683.jpeg
3,7,https://www.indiewire.com/2022/05/liam-neeson-atlanta-cameo-racism-controversy-apologizes-1234722816/,Liam Neeson Apologizes for 2019 Racism Controversy in ‘Atlanta’ Cameo: ‘It Honestly Frightens Me’,IndieWire,4 days ago,"Liam Neeson Apologizes for 2019 Racism Controversy in 'Atlanta' Cameo: 'It 
Honestly Frightens Me'. Neeson previously clarified he is ""not a...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a419fee5bf6ce8e44d175abf2d3f0e6caebb168e56895605578.jpeg
3,8,https://pagesix.com/2022/05/07/teresa-giudice-apologizes-to-joe-gorga-after-rhonj-reunion/,Teresa Giudice apologizes to Joe Gorga after 'RHONJ' reunion: 'I lost myself',Page Six,3 days ago,"Teresa Giudice is sorry for calling her brother, Joe Gorga, a “bitch boy” 
during Tuesday's “Real Housewives of New Jersey” reunion.",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a41aa960851f9330238d1baf6745580c1a48aac171f2dd1f5c6.jpeg
3,9,https://denverite.com/2022/04/17/denver-officially-apologizes-for-anti-chinese-riot-142-years-later/,"Denver officially apologizes for anti-Chinese riot, 142 years later",Denverite,3 weeks ago,"This is the first time a city outside of California has issued such an 
apology for historic anti-Asian violence. Linda Jew (right) and Linda...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a4122777eaa9e8455e6d6dca942b1b39d836ba2977d859a9e63.jpeg
3,10,https://krdo.com/news/2022/05/04/florence-police-chief-apologizes-for-failure-to-produce-public-record/,Florence Police Chief apologizes for failure to produce public ...,KRDO,5 days ago,"I apologize for my oversight, and ultimately have no legitimate excuses as 
to why they were not included. Florence Police Chief Shane Prickett,...",https://serpapi.com/searches/627ab5609d1586e1f939e22a/images/daf112a7203e8a41d3f09a41b6834b3ecd6587876bb7f0cc30b3c87d2bba6667.jpeg
4,1,https://www.cbssports.com/mlb/news/umpire-apologizes-to-mets-chris-bassitt-for-missed-strike-three-call-vs-braves/,Umpire apologizes to Mets' Chris Bassitt for missed strike-three call vs. Braves,CBS Sports,1 week ago,"Bassitt also apologized for his reaction to the missed call, which some 
mind perceive as ""showing up"" the arbiter behind the plate.",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed3a462f9517e9420cd9bcf59cb477db3dd178b18bb6341358.jpeg
4,2,https://www.nbcnews.com/news/asian-america/denver-formally-apologizes-anti-chinese-riot-1880-left-one-dead-rcna24817,Denver formally apologizes for anti-Chinese riot in 1880 that left one dead,NBC News,3 weeks ago,"The city of Denver formally apologized to early Chinese immigrants and 
their descendants for riots that ravaged the city's Chinatown and...",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed8f655d94ad0b8c0d30a17ef3bc3ef88303561020aca979ad.jpeg
4,3,https://www.nbcsports.com/bayarea/giants/viral-madison-bumgarner-ejection-umpire-dan-bellino-apologizes,Viral Madison Bumgarner ejection: Umpire Dan Bellino apologizes,NBC Sports,3 days ago,"Bellino issued an apology Friday for his actions during a viral incident 
with Madison Bumgarner that ended with the first base umpire ejecting...",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed3c3c3531496495ea735effc6b668f7aa2769094678fbf018.jpeg
4,4,https://www.nbcsports.com/bayarea/warriors/eli-manning-hilariously-apologizes-draymond-green-flipping-crowd,Eli Manning hilariously apologizes for Draymond Green flipping off crowd,NBC Sports,5 days ago,"“I apologize for starting this trend,” Manning tweeted. ... While Manning 
issued a tongue-in-cheek apology after realizing his middle...",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed6767096f25316246da07f596d89de2f872cd1c379487a7c5.jpeg
4,5,https://www.cnn.com/2022/04/11/entertainment/sam-elliott-the-power-of-the-dog-intl-scli/index.html,Sam Elliott apologizes for comments criticizing 'The Power of the Dog',CNN,1 month ago,"Sam Elliott criticized ""The Power of the Dog"" for its ""allusions of 
homosexuality."" (CNN) Sam Elliott has publicly apologized for his 
criticism...",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed3db51a4d527ec0dac5ed58e36f6302dac02a3392c604e94e.jpeg
4,6,https://ottawa.ctvnews.ca/queen-s-university-apologizes-for-sending-out-admittance-letters-by-mistake-1.5893326,Queen's University apologizes for sending out admittance ...,CTV News Ottawa,2 days ago,"Queen's University is apologizing for mistakenly sending admission emails 
to applicants who had not yet been accepted.",https://serpapi.com/searches/627ab5615119a6448a2df33d/images/87c41a7ee1817eed71e481583d184fc390a79c65ba501eca1c9c77672d2982c4.jpeg
4,7,https://boston.cbslocal.com/2022/05/05/iteam-chelsea-asbestos-debris-dumped/,I-Team: State Apologizes For Dumping Hazardous Material In Chelsea,CBS Boston,4 days ago,"CHELSEA (CBS) – Angry residents who live in public housing can see the pile 
of asbestos from their Chelsea apartment.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSVPIX3-glqE1rYD8SvCnKN6UM-AjcRX_y0nk95wylqXmEbGOFBVEagyQ&usqp=CAI&s
4,8,https://www.outsports.com/trans/2022/5/9/23062978/digit-murphy-trans-athletes-hockey-metropolitan-riveters-premier-hockey-federation,Digit Murphy apologizes to trans community in new Riveters role,Outsports,1 day ago,"Digit Murphy was criticized for supporting a group that wants access to 
sports for trans women, with transition requirements. By Cyd Zeigler@...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3P4jQxiLD65TQ9Cx4GQIOPB1XVHQoBdc4pMACO3s&usqp=CAI&s
4,9,https://www.cnn.com/2022/04/22/politics/faa-apology-capitol-evacuation-golden-knights/index.html,FAA apologizes for Army Golden Knights incident that prompted Capitol evacuation,CNN,2 weeks ago,"“We deeply regret that we contributed to a precautionary evacuation of the 
Capitol complex and apologize for the disruption and fear...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxX1pdtZypS5kaP_fLOHeSUiPn6unr-42xyDx9GGXM8BSXpchMelqn9x4&usqp=CAI&s
4,10,https://dailyiowan.com/2022/05/04/john-raley-apologizes-for-campaign-signs-on-prestige-properties-rentals/,John Raley apologizes for campaign signs on Prestige ...,The Daily Iowan,5 days ago,"Following push back from the community, Raley took the signs down and 
apologized to Iowa City voters. A+John+Raley+sign+is+seen+outside+of+.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSki-2JPUXgdlG9kVXReLKRS08Anmkaq4qrudZUrvtzPFvN4d85TdVi7Ho&usqp=CAI&s
